74,Argentina,2012 Summer,Mara Laura Abalo,F
75,Greece,2004 Summer,Giorgos Abalof,M
76,Cameroon,2000 Summer,Jouan Patrice Abanda Etong,M
77,Cameroon,1968 Summer,Antoine Abang,M
78,Turkey,1996 Summer,Salim Abanoz,M
79,Chile,1924 Summer,Carlos Abarca Gonzlez,M
80,Spain,1996 Summer,Jos Mara Abarca Plotas,M
81,Greece,2004 Summer,Georgios Abaris,M
82,Mexico,2000 Summer,Enrique Abaroa Martnez,M
83,Chile,1992 Summer,Carlos Arturo Abarza Chavez,M
84,United States,2004 Summer,Stephen Anthony Abas,M
86,Spain,1980 Summer,Jos Manuel Abascal Gmez,M
86,Spain,1984 Summer,Jos Manuel Abascal Gmez,M
87,Soviet Union,1964 Summer,Rostom Omeris dze Abashidze,M
88,Soviet Union,1980 Summer,Nunu Dzhansuhivna Abashydze (-Myslaieva),F
89,Chile,1984 Summer,Rodrigo Abasolo,M
90,Russia,2004 Summer,Tamila Rashidovna Abasova,F
91,Italy,2012 Summer,Emanuele Abate,M
92,Italy,2008 Summer,Ignazio Abate,M
93,France,2004 Summer,Jol Marc Abati,M
93,France,2008 Summer,Jol Marc Abati,M
94,Chile,1984 Summer,Ral Abatte,M
95,Greece,2004 Summer,Georgia Abatzidou,F
96,Nicaragua,2004 Summer,Carlos Rodolfo Abaunza Balladares,M
97,Nicaragua,1976 Summer,Carlos Alberto Abaunza,M
98,Mexico,1968 Summer,Hctor Abaunza,M
99,Hungary,1992 Summer,Pter Abay,M
100,Hungary,1936 Summer,Oszkr Abay-Nemes,M
101,Nigeria,1972 Summer,Adeyemi Abayomi,M
102,Egypt,1920 Summer,Sayed Fahmy Abaza,M
102,Egypt,1928 Summer,Sayed Fahmy Abaza,M
103,Italy,1936 Summer,Silvano Abba,M
104,Chad,1972 Summer,Gana Abba Kimet,M
105,Algeria,2012 Summer,Ilyas Abbadi,M
105,Algeria,2016 Summer,Ilyas Abbadi,M
106,Italy,1988 Summer,Agostino Abbagnale,M
106,Italy,1996 Summer,Agostino Abbagnale,M
106,Italy,2000 Summer,Agostino Abbagnale,M
107,Italy,1984 Summer,Carmine Abbagnale,M
107,Italy,1988 Summer,Carmine Abbagnale,M
107,Italy,1992 Summer,Carmine Abbagnale,M
107,Italy,1996 Summer,Carmine Abbagnale,M
108,Italy,1980 Summer,Giuseppe Abbagnale,M
108,Italy,1984 Summer,Giuseppe Abbagnale,M
108,Italy,1988 Summer,Giuseppe Abbagnale,M
108,Italy,1992 Summer,Giuseppe Abbagnale,M
109,Kuwait,1976 Summer,Abdul Latif Al-Sayed Abbas Youssef Hashem,M
109,Kuwait,1980 Summer,Abdul Latif Al-Sayed Abbas Youssef Hashem,M
110,Bahrain,2016 Summer,Abubakar Abbas Abbas,M
111,Pakistan,1996 Summer,Aqarab Abbas,M
112,Iraq,1964 Summer,Aziz Abbas,M
113,Iraq,2004 Summer,Bassim Abbas Kati Al-Ogaili,M
